file_id,filename,folder,mime_type,dominant_topic,top_keywords,sentiment,text_snippet,score_PLAAF,score_PLAN,score_PLA_Ground,score_Organization,score_Personnel,score_Doctrine,score_Diplomacy,score_Technology,score_Leadership,is_draft,year
16HG6SFQ4P5eNW-cX5s-LlgxBAV5WLa2A,2016 Directory Structure - Second Draft - 26 Mar 2016.docx,2013-2024 Personality Directories,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Organization,"command, organ, maybe, post, reform",0.0,"Directory Structure – First Draft Introduction Overview PRC Organizational Diagram (Pre and Post Reform) MUCDs explanation Overview of GAs and other organizations at the Corps Leader Grade Ships Section Changes to the 2016 Directory Note on Grade and Rank Structure (Pre and Post Reform + Speculation) Something close to what was in the Jamestown article? Chapter 1 – POL Orgs 18th CCP-CC; CC-DI; NSC; Secretariat Chapter 2 – The CMC Profiles + The “New” CMC Chapter 3 – The MND MND Departments + Attaches Chapter 4 - Judicial Orgs PLA Military Court + PLA Military Procuratorate Could also place Service and TC Discipline Inspection orgs here Chapter 5 – The Services PLAA Command Organ + HQD, PD, JLD, ED Theaters  Pre and Post Reform Map (All TC) Eastern TC Pre and Post Reform Map Command Organ + HQD, PD, JLD, ED ETC Navy Command Organ ETC AF Command Organ ETC PLARF Command Organ (maybe) ETC PAP Command Organ (maybe) Southern TC Pre and Post Reform Map Command Organ + HQD, PD, JLD, ED STC Navy Command Organ STC AF Command Organ STC PLARF Command Organ (maybe) STC PAP Command Organ (maybe) Western TC Pre and Post Reform Map Command Organ + HQD, PD, JLD, ED WTC AF Command Organ WTC PLARF Command Organ (maybe) WTC PAP Command Organ (maybe) Northern TC Pre and Post Reform Map Command Organ + HQD, PD, JLD, ED NTC Navy Command Organ NTC AF Command Organ NTC PLARF Command Organ (maybe) NTC PAP Command Organ (maybe) Central TC Pre and Post Reform Map Command Organ + HQD, PD, JLD, ED CTC AF Command Organ CTC PLARF Command Organ (maybe) CTC PAP Command Organ (maybe) Group Armies Explanation of relationship to Service and TC In protocol order by TC Military Districts Explanation of relationship to CMC National Defense Mobilization Office In protocol order by TC Military Subdistricts Place Directly Subordinate Units (DSU) with matching MD For DSU previously subordinate to a MR HQ, place under MD where MR HQ was? Place Reserves with matching MD PLAN Command Organ + HQD, PD, JLD, ED Sea",1,8,0,46,1,1,1,2,3,True,2016.0
1ALBFyHVl2-6UU_StBkZVklZl4VjqMffW,2015 03 23 2015 Directory Overview Draft - Ken Allen's Edits.docx,2013-2024 Personality Directories,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Leadership,"military, corruption, people, chinese, inspection",0.9277,"Overview (Draft) April 2014 – March 2015  This overview addresses some of the major issues and changes related to personnel and organizations in China’s armed forces that occurred over the past year. The first section addresses the structural ramifications of the nationwide anticorruption drive and targeted efforts within the military to strengthen fiscal oversight, increase accountability, and improve morale among officers and . The second section highlights recent high-level promotions in the People’s Liberation Army (PLA) and People’s Armed Police (PAP). The third section analyzes several important documents and statements related to Chinese military doctrine that were issued early in 2015.   I. Corruption and L Over the past year, one of the most prominent and persistent themes within the Chinese military from both an organizational and political perspective has been the localized effects of the nationwide anti-corruption campaign led by Chinese President and Central Military Commission (CMC) Chairman Xi Jinping [习近平]. Under Xi, the lead man for anti-corruption work in China is Chinese Communist Party (CCP) Politburo Standing Committee Member Wang Qishan [王岐山], who serves as Secretary-General of the Central Commission for Discipline Inspection (CCDI). The Secretary of the subordinate CMC Discipline Inspection Committee is Du Jincai [杜金才], who is also Deputy Director (DDIR) of the General Political Department (GPD). In 2014, discipline inspection efforts conducted throughout China led to the investigation of 28 officials at the provincial or ministerial level and above, including former Minster of Public Security Zhou Yongkang [周永康] and former CMC Vice Chairman (VC) Xu Caihou [徐才厚]. In a work report delivered at the Third Session of the 12th National People’s Congress, the Supreme People’s Procuratorate announced that in 2014, 55,101 people were investigated in a total of 41,187 cases. The total number of people investigated increased 7.4 percent from the previou",0,0,1,6,5,1,0,0,17,True,2015.0
1aerZKUwbeR5WPe8o1UoGCzVIzQzsqXKj,Textore Directory Outline_KA edits.docx,2013-2024 Personality Directories,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Personnel,"military, first, training, outline, ceremony",0.6808,"Textore Directory Outline Good Afternoon, I just completed my initial outline of the top items to summarize in the 2018 Directory of Military Personalities - here is a brief recap of what I've found 1.     19th National Congress (18-24 OCT 2017) a.      New CMC Elected b.     11 Member Committee Reduced to 7 c.      Notably, the new CMC lacks representation from the leaders of the PLA Army, Navy, Air Force, and Rocket Force.  Also Notable – Wei Fenghe only the position of MBR, CMC... while MND Minister Chang Wanquan continued to be one of the busiest PLA personnel in meeting with foreign counterparts.   2.     PAP Reorganization a.      According to a 27 December 2017 announcement made by the CCP Central Committee, effective 1 January 2018, the People’s Armed Police (PAP) will be placed under the command of the CCP Central Committee and the CMC.  It will no longer report to the State Council. b.     On 10 January, XI Jinping conferred a flag to the PAP at a ceremony held in Beijing.  PAP CDR WANG Ning and PAP PC ZHU Shengling received the flag on behalf of the PAP. 3.     Continued Below the Neck Reforms a.      “Continued Brigade-ization of the PLA”     b.     Introduction of New-type Units, including Combined Arms Brigade and Chemical Defense and Engineering Brigades [工程防化旅].                                                     i.     Reference Dennis Blasko GA Chart 4.     Corruption Campaign Hits High-level PLA Personnel a.      23 NOV: Zhang Yang kill himself while ongoing corruption investigation was being conducted. b.     9 JAN: Fang Fenghui transferred to military prosecutors on the suspicion of offering and accepting bribes.  5.     PLA continues its Equipment Modernization Drive a.      26 APR: China Launches First Indigenous Produced Aircraft Carrier b.     9 FEB: J-20 Stealth Fighter Enters into Service w PLAAF  6.     Reorganization of PLA and PAP Educational System a.      29 JUN: 81.cn lists 43 newly reorganized PLA and PAP educational organizations b",4,2,4,10,13,1,2,1,7,True,
1fqz6RuFjf-A6NAV-3hhxHkJW87XOAart,2024 PLA Leadership Directory.pdf,2013-2024 Personality Directories,application/pdf,Organization,"force, military, grade, theater, command",0.8591,"Abbreviations and Reference Table
ADM
Admiral
NPC
National People's Congress
AMS
Academy of Military Science
NTC
Northern Theater Command
AR
Autonomous Region
NTCN
Northern Theater Command Navy
CC
Central Committee
NUDT
National University of Defense Technology
CCG
China Coast Guard
NWMA
Non-War Military Activities
CCP
Chinese Communist Party
PAP
People's Armed Police
CDR
Commander
PC
Political Commissar
CMC
Central Military Commission
PLA
People's Liberation Army
CNY
Chinese Yuan (also known as remminbi -  RMB)
PLAA
People's Liberation Army Army
COL
Colonel
PLAAF
People's Liberation Army Air Force
COS
Chief of Staff
PLAN
People's Liberation Army Navy
CPT
Captain
PLARF
People's Liberation Anny Rocket Force
CSF
Cyberspace Force1
PLASSF
People's Liberation Army Strategic Support Force
CTC
Central Theater Command
PRC
People's Republic of China
DCDR
Deputy Commander
PWD
Political Work Department
DI-C
Discipline Inspection Commission/Committee
RADM
Rear Admiral
DIR
Director
SCOL
Senior Colonel
EDD
Equipment Development Department
SCPT
Senior Captain
ETC
Eastern Theater Command
STC
Southern Theater Command
ETCN
Eastern Theater Command Navy
STCN
Southern Theater Command Navy
GA
Group Army
TC
Theater Command
GAD
General Armament Department
TCN
Theater Command Navy
GEN
General
TUD
True Unit Designator
GLD
General Logistics Department
VADM
Vice Admiral
GPD
General Political Department
WTC
Western Theater Command
GSD
General Staff Department
HQ
Headquarters
CMCCHM
CMC Chairman - Grade 1
ISF
Information Support Force
CMC VC
CMC Vice-Chairman - Grade 1
JLSF
Joint Logistics Support Force
CMCMBR
CMC Member - Grade 2
JSD
Joint Staff Department
MRLDR
MR Leader - Grade 3
LSD
Logistic Support Department
MRDLDR
MR Deputy Leader - Grade 4
LTC
Lieutenant Colonel
Corps LDR
Corps Leader - Grade 5
LTG/LGEN
Lieutenant General
Corps DLDR
Corps Deputy Leader - Grade 5
MAF
Military Aerospace Force
Division LDR
Division Leader - Grade 8
MAJ
Major
Division DLDR
Division Deputy Leader - Grade 8
MD",2,12,11,31,2,2,1,5,23,False,2024.0
14EadijMXPSojBQbzjtjZ287yI5yDfRg-,Lt Gen Cai Yingting's Delegation.docx,2013-2024 Personality Directories,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Personnel,"grade, delegation, members, ribbons, member",0.3054,"Lt Gen Cai Yingting’s Delegation Lt Gen Cai’s delegation consists of 12 members. Each member wears ribbons (that indicate his grade), rank on their shoulder, collar insignia, and an arm patch on the left arm.  The grade is determined by the number of rows of ribbons and whether there are 1 or 2 stars in the top center ribbon. The table below shows the information for the 12 members of Cai’s delegation. [Note: Each grade can have a primary or secondary rank assigned to it.]  For example, some members of the delegation have the following ribbons. Based on the 5 rows and 1 star, this shows the grade is that of a corps deputy leader grade officer.  All members have the following collar insignia, which is a 5-pointed star and pine branch. This means that they are not special technical officers, who have a 6-pointed atom.    Each member has an arm patch that identifies their primary organizations, such as the ones shown below for the Beijing Military Region and PLA Air Force.  ",1,0,0,1,4,0,0,0,0,False,
1NeWvaSuwvLbZLUu0dvI2hNDFg4QCuQRD,2015 Directory of PRC Military Personalities.pdf,2013-2024 Personality Directories,application/pdf,Leadership,"military, region, grade, force, leader",0.8225,"March 2015
Directory of
PRC
Military Personalities
 Abbreviations 
AMS 
Academy of Military Science 
ADM 
Admiral 
AR 
Autonomous Region 
CDR 
Commander 
BJMR 
Beijing Military Region 
COL 
Colonel 
BJMRAF 
Beijing Military Region Air Force 
CPT 
Captain 
CCP 
Chinese Communist Party 
GEN 
General 
CC 
Central Committee 
LGEN 
Lieutenant General 
CDMR 
Chengdu Military Region 
LTC 
Lieutenant Colonel 
CDMRAF 
Chengdu Military Region Air Force 
MAJ 
Major 
CMC 
Central Military Commission 
MGEN 
Major General 
ESF 
East Sea Fleet 
RADM 
Rear Admiral 
GAD 
General Armament Department 
SCOL 
Senior Colonel 
GLD 
General Logistics Department 
SCPT 
Senior Captain 
GPD 
General Political Department 
VADM 
Vice Admiral 
GSD 
General Staff Department 
GZMR 
Guangzhou Military Region 
CMC CHM 
CMC Chairman - Grade 1 
GZMRAF 
Guangzhou Military Region Air Force 
CMC VC 
CMC Vice-Chairman - Grade 1 
JNMR 
Jinan Military Region 
CMC MBR 
CMC Member - Grade 2 
JNMRAF 
Jinan Military Region Air Force 
MR LDR 
MR Leader - Grade 3 
LZMR 
Lanzhou Military Region 
MR DLDR 
MR Deputy Leader - Grade 4 
LZMRAF 
Lanzhou Military Region Air Force 
Corps LDR 
Corps Leader - Grade 5 
MD 
Military District 
Corps DLDR 
Corps Deputy Leader - Grade 6 
MIIT 
Ministry of Industry and Information Technology 
Division LDR 
Division Leader - Grade 7 
MND 
Ministry of National Defense 
Division DLDR 
Division Deputy Leader - Grade 8 
MPS 
Ministry of Public Security 
Regiment LDR 
Regiment Leader - Grade 9 
MR  
Military Region 
Regiment DLDR 
Regiment Deputy Leader - Grade 10 
MRAF 
Military Region Air Force 
Battalion LDR 
Battalion Leader - Grade 11 
NDU 
National Defense University 
NJMR 
Nanjing Military Region 
* 
CCP-CC Full Member 
NJMRAF 
Nanjing Military Region Air Force 
** 
CCP-CC Alternate Member 
NSF 
North Sea Fleet 
+ 
Political Bureau Full Member 
NUDT 
National University of Defense Technology 
PAP 
People's Armed Police 
PLA  
People's Liberation Army 
PLAAF 
People's Liberation ",10,11,12,11,2,0,0,2,17,False,2015.0
1Z0-iFydaEpBYhYwZFs3-uKMqNf4i_m_u,2016 Directory of PRC Military Personalities.pdf,2013-2024 Personality Directories,application/pdf,Organization,"military, region, force, grade, department",0.7717,"Directory of 
PRC 
Military Personalities 
March 2016 
 Abbreviations 
AMS 
Academy of Military Science 
PLASAF 
People's Liberation Army Second Artillery Force 
AR 
Autonomous Region 
PLASSF 
People's Liberation Army Strategic Support Force 
BJMR 
Beijing Military Region 
PRC 
People's Republic of China 
BJMRAF 
Beijing Military Region Air Force 
PWD 
Political Work Department 
CC 
Central Committee 
SSF 
South Sea Fleet 
CCP 
Chinese Communist Party 
STC 
Southern Theater Command 
CDMR 
Chengdu Military Region 
SYMR 
Shenyang Military Region 
CDMRAF 
Chengdu Military Region Air Force 
SYMRAF 
Shenyang Military Region Air Force 
CMC 
Central Military Commission 
TC 
Theater Command 
CTC 
Central Theater Command 
WTC 
Western Theater Command 
EDD 
Equipment Development Department 
 
 
ESF 
East Sea Fleet 
  
  
ETC 
Eastern Theater Command 
ADM 
Admiral 
GAD 
General Armament Department 
CDR 
Commander 
GLD 
General Logistics Department 
COL 
Colonel 
GPD 
General Political Department 
CPT 
Captain 
GSD 
General Staff Department 
GEN 
General 
GZMR 
Guangzhou Military Region 
LGEN 
Lieutenant General 
GZMRAF 
Guangzhou Military Region Air Force 
LTC 
Lieutenant Colonel 
JNMR 
Jinan Military Region 
MAJ 
Major 
JNMRAF 
Jinan Military Region Air Force 
MGEN 
Major General 
JSD 
Joint Staff Department 
RADM 
Rear Admiral 
LSD 
Logistics Support Department 
SCOL 
Senior Colonel 
LZMR 
Lanzhou Military Region 
SCPT 
Senior Captain 
LZMRAF 
Lanzhou Military Region Air Force 
VADM 
Vice Admiral 
MD 
Military District 
  
  
MIIT 
Ministry of Industry and Information Technology 
CMC CHM 
CMC Chairman - Grade 1 
MND 
Ministry of National Defense 
CMC VC 
CMC Vice-Chairman - Grade 1 
MPS 
Ministry of Public Security 
CMC MBR 
CMC Member - Grade 2 
MR  
Military Region 
MR LDR 
MR Leader - Grade 3 
MRAF 
Military Region Air Force 
MR DLDR 
MR Deputy Leader - Grade 4 
NDU 
National Defense University 
Corps LDR 
Corps Leader - Grade 5 
NJMR 
Nanjing Military Region 
Corps DLDR ",10,11,11,24,0,1,0,3,22,False,2016.0
1iK-HaFnCM_DEfzYaq4h8LtzTJZfo7eU1,2016 Directory of PRC Military Personalities.pdf,2013-2024 Personality Directories,application/pdf,Organization,"military, region, force, grade, department",0.7717,"Directory of 
PRC 
Military Personalities 
March 2016 
 Abbreviations 
AMS 
Academy of Military Science 
PLASAF 
People's Liberation Army Second Artillery Force 
AR 
Autonomous Region 
PLASSF 
People's Liberation Army Strategic Support Force 
BJMR 
Beijing Military Region 
PRC 
People's Republic of China 
BJMRAF 
Beijing Military Region Air Force 
PWD 
Political Work Department 
CC 
Central Committee 
SSF 
South Sea Fleet 
CCP 
Chinese Communist Party 
STC 
Southern Theater Command 
CDMR 
Chengdu Military Region 
SYMR 
Shenyang Military Region 
CDMRAF 
Chengdu Military Region Air Force 
SYMRAF 
Shenyang Military Region Air Force 
CMC 
Central Military Commission 
TC 
Theater Command 
CTC 
Central Theater Command 
WTC 
Western Theater Command 
EDD 
Equipment Development Department 
 
 
ESF 
East Sea Fleet 
  
  
ETC 
Eastern Theater Command 
ADM 
Admiral 
GAD 
General Armament Department 
CDR 
Commander 
GLD 
General Logistics Department 
COL 
Colonel 
GPD 
General Political Department 
CPT 
Captain 
GSD 
General Staff Department 
GEN 
General 
GZMR 
Guangzhou Military Region 
LGEN 
Lieutenant General 
GZMRAF 
Guangzhou Military Region Air Force 
LTC 
Lieutenant Colonel 
JNMR 
Jinan Military Region 
MAJ 
Major 
JNMRAF 
Jinan Military Region Air Force 
MGEN 
Major General 
JSD 
Joint Staff Department 
RADM 
Rear Admiral 
LSD 
Logistics Support Department 
SCOL 
Senior Colonel 
LZMR 
Lanzhou Military Region 
SCPT 
Senior Captain 
LZMRAF 
Lanzhou Military Region Air Force 
VADM 
Vice Admiral 
MD 
Military District 
  
  
MIIT 
Ministry of Industry and Information Technology 
CMC CHM 
CMC Chairman - Grade 1 
MND 
Ministry of National Defense 
CMC VC 
CMC Vice-Chairman - Grade 1 
MPS 
Ministry of Public Security 
CMC MBR 
CMC Member - Grade 2 
MR  
Military Region 
MR LDR 
MR Leader - Grade 3 
MRAF 
Military Region Air Force 
MR DLDR 
MR Deputy Leader - Grade 4 
NDU 
National Defense University 
Corps LDR 
Corps Leader - Grade 5 
NJMR 
Nanjing Military Region 
Corps DLDR ",10,11,11,24,0,1,0,3,22,False,2016.0
1WUQNlM-j-fTDQOc7e1dqgBsLfPCeOZwd,2021 Directory of PRC Military Personalities.pdf,2013-2024 Personality Directories,application/pdf,Organization,"military, region, force, grade, people",0.6597,"Directory of 
PRC 
Military Personalities 
March 2021 
 Abbreviations
AMS 
Academy of Military Sciences
PLAAF 
People's Liberation Army Air Force 
AR 
Autonomous Region 
PLAN 
People's Liberation Army Navy 
BJMR 
Beijing Military Region 
PLARF 
People's Liberation Army Rocket Force 
BJMRAF 
Beijing Military Region Air Force 
PLASAF 
People's Liberation Army Second Artillery Force 
CC 
Central Committee 
PLASSF 
People's Liberation Army Strategic Support Force 
CCP 
Chinese Communist Party 
PRC 
People's Republic of China 
CDMR 
Chengdu Military Region 
PWD 
Political Work Department 
CDMRAF 
Chengdu Military Region Air Force 
SSF 
South Sea Fleet 
CMC 
Central Military Commission 
STC 
Southern Theater Command 
CTC 
Central Theater Command 
SYMR 
Shenyang Military Region 
EDD 
Equipment Development Department 
SYMRAF 
Shenyang Military Region Air Force 
ESF 
East Sea Fleet 
TC 
Theater Command 
ETC 
Eastern Theater Command 
WTC 
Western Theater Command 
GA 
Group Army 
GAD 
General Armament Department 
ADM 
Admiral 
GLD 
General Logistics Department 
CDR 
Commander 
GPD 
General Political Department 
COL 
Colonel 
GSD 
General Staff Department 
CPT 
Captain 
GZMR 
Guangzhou Military Region 
GEN 
General 
GZMRAF 
Guangzhou Military Region Air Force 
LGEN 
Lieutenant General 
JNMR 
Jinan Military Region 
LTC 
Lieutenant Colonel 
JNMRAF 
Jinan Military Region Air Force 
MAJ 
Major 
JLSF 
Joint Logistics Support Force 
MGEN 
Major General 
JSD 
Joint Staff Department 
RADM 
Rear Admiral 
LSD 
Logistic Support Department 
SCOL 
Senior Colonel 
LZMR 
Lanzhou Military Region 
SCPT 
Senior Captain 
LZMRAF 
Lanzhou Military Region Air Force 
VADM 
Vice Admiral 
MD 
Military District 
MIIT 
Ministry of Industry and Information Technology 
CMC CHM 
CMC Chairman - Grade 1 
MND 
Ministry of National Defense 
CMC VC 
CMC Vice-Chairman - Grade 1 
MPS 
Ministry of Public Security 
CMC MBR 
CMC Member - Grade 2 
MR 
Military Region 
TC LDR 
TC Leader - Grade 3 
MRAF 
Military Region",10,11,12,21,1,2,0,3,21,False,2021.0
1Fjqy1gysW358OgJYpFelPvjg24hNXoi8,PLA Grades and Organizations.docx,2013-2024 Personality Directories,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Personnel,"star, army, flag, officer, grade",0.0,"PLA Grades, Ranks, and Organizations  *Each grade from Platoon to Theater Command Deputy Leader has two ranks – a  primary rank and a secondary rank. Grades and ranks are not assigned at the same time. Officers get a grade or rank promotion first and then a rank an grade promotion anywhere from 1-2 years later. As a general rule, officers receive a grade promotion every 3 years and a rank promotion every 4 years from the Company Deputy Leader grade up to Regiment Leader grade. However, since 2020, all Theater Command Leader grade and 3-star flag officer promotions have been simultaneous promotions. **In the PLA, every organization, including naval vessels, not just personnel, is assigned a grade.  ***The PLA does not have any 4-star flag officer ranks. A PLA 3-star flag officer is equivalent to a US 4-star flag officer; a 2-star flag officer is equivalent to a US 3-star flag officer; and a 1-star flag officer is equivalent to a 2-star flag officer. A Senior Colonel is roughly equivalent to a US 1-star flag officer. Acronyms/abbreviations: Grades: TC/Theater Command; LDR/Leader; DLDR/Deputy Leader; Div/Division; Bde/Brigade; Regt/Regiment; Bn/Battalion; Co/Company; Pl/Platoon Ranks: SCOL/Senior Colonel; COL/Colonel; LTC/Lieutenant Colonel; MAJ/Major; CPT/Captain; 1LT/1st Lieutenant; 2LT/2nd Lieutenant Services: PLA/People’s Liberation Army; PLAA/PLA Army; PLAN/PLA Navy; PLAAF/PLA Air Force; PLARF/PLA Rocket Force Other: HQ/Headquarters; MD/Military District   U.S. Military Organizations Department of Defense Branches/Services: Army, Navy, Air Force, Space Force, Marine Corps Combatant Commands Branch Commands and Service Component Commands, such as for the Army: Army Commands Forces Command (FORSCOM) (4-star) Futures Command (AFC) (4-star) Materiel Command (AMC) (3-star) Training and Doctrine Command (TRADOC) (4-star) Army Service Commands US Army Central (ARCENT)/Third Army (3-star) US Army Europe and Africa/Seventh Army (4-star) US Army North (ARNORTH)./Fifth Army ",3,4,18,16,29,2,0,0,1,False,
